name,white,black,api,native,multiple,hispanic
AUGUST,0.9621,0.0,0.0151,0.0,0.0,0.0227
AUGUSTIN,0.3333,0.1212,0.0606,0.0,0.0,0.4848
AUGUSTINE,0.3636,0.2386,0.1364,0.0,0.0,0.2614
AUGUSTO,0.2143,0.0143,0.2143,0.0,0.0,0.5571
AUGUSTUS,0.7297,0.2162,0.054,0.0,0.0,0.0
AURA,0.2787,0.0164,0.0492,0.0,0.0,0.6557
AUREA,0.0625,0.0,0.3125,0.0,0.0,0.625
AURELIA,0.4638,0.0435,0.0435,0.0,0.0,0.4493
AURELIO,0.1351,0.0,0.054,0.0,0.0,0.8108
AURORA,0.2598,0.0245,0.2059,0.0,0.0,0.5098
AUSTIN,0.8909,0.0508,0.0508,0.0,0.0051,0.0025
AUTUMN,0.9573,0.0183,0.0122,0.0,0.0,0.0122
AVA,0.6909,0.1909,0.0636,0.0,0.0182,0.0364
AVELINO,0.0938,0.0,0.375,0.0,0.0,0.5312
AVERY,0.7356,0.2414,0.023,0.0,0.0,0.0
AVI,0.9189,0.0,0.027,0.0,0.0,0.054
AVIS,0.6667,0.3333,0.0,0.0,0.0,0.0
AVIVA,1.0,0.0,0.0,0.0,0.0,0.0
AXEL,0.6667,0.0909,0.0,0.0,0.0,0.2424
AYANNA,0.0,1.0,0.0,0.0,0.0,0.0
AZIZ,0.6818,0.0682,0.2273,0.0,0.0,0.0227
AZUCENA,0.0952,0.0,0.0952,0.0,0.0,0.8095
BA,0.0,0.0,1.0,0.0,0.0,0.0
BABAK,0.9118,0.0294,0.0588,0.0,0.0,0.0
BABETTE,0.9412,0.0,0.0588,0.0,0.0,0.0
BAHMAN,0.8387,0.0323,0.0968,0.0,0.0323,0.0
BAHRAM,0.9167,0.0,0.0833,0.0,0.0,0.0
BAILEY,0.9778,0.0,0.0222,0.0,0.0,0.0
BALAJI,0.1277,0.0213,0.8085,0.0213,0.0,0.0213
BALDEV,0.303,0.0,0.6364,0.0606,0.0,0.0
BALTAZAR,0.0377,0.0189,0.0755,0.0,0.0,0.8679
BALWINDER,0.2424,0.0,0.7576,0.0,0.0,0.0
BAMBI,0.9565,0.0217,0.0217,0.0,0.0,0.0
BAO,0.018,0.0,0.964,0.009,0.009,0.0
BARBARA,0.9307,0.0455,0.0058,0.0009,0.0008,0.0163
BARBRA,0.9242,0.0454,0.0,0.0,0.0,0.0303
BARNEY,0.7692,0.0923,0.0923,0.0,0.0,0.0462
BARRETT,0.967,0.022,0.011,0.0,0.0,0.0
BARRIE,1.0,0.0,0.0,0.0,0.0,0.0
BARRON,0.7097,0.2581,0.0,0.0323,0.0,0.0
