zcta5,white,black,api,native,multiple,hispanic
01376,0.887,0.0124,0.0061,0.0019,0.0254,0.0672
01378,0.9664,0.0,0.009000000000000001,0.0052,0.009000000000000001,0.0103
01379,0.952,0.0111,0.0074,0.0037,0.0049,0.0209
01420,0.6837,0.0401,0.0362,0.0017,0.0214,0.2168
01430,0.94,0.0087,0.012,0.001,0.013,0.0253
01431,0.9616,0.0029,0.0036,0.0007,0.0127,0.0186
01432,0.8296,0.0453,0.0385,0.0021,0.0288,0.0558
01434,0.6713,0.1922,0.0267,0.0,0.0017,0.1081
01436,0.9544,0.0075,0.0057,0.0003,0.0105,0.0216
01438,0.9517,0.0054,0.0,0.0,0.0,0.0429
01440,0.8714,0.0247,0.0145,0.0022,0.0168,0.0705
01450,0.9366,0.0042,0.0276,0.0007,0.0127,0.0181
01451,0.9214,0.0042,0.0352,0.0,0.02,0.0192
01452,0.9657,0.0048,0.0048,0.0002,0.0101,0.0144
01453,0.7618,0.0451,0.0277,0.0012,0.0186,0.1456
01460,0.9245,0.0052,0.0393,0.0007,0.0168,0.0136
01462,0.9384,0.0078,0.0152,0.0016,0.0131,0.0238
01463,0.9537,0.0044,0.0116,0.0012,0.0122,0.0169
01464,0.7971,0.0797,0.0285,0.0017,0.0151,0.0779
01467,0.9146,0.0,0.0348,0.0032,0.0253,0.0222
01468,0.9575,0.0055,0.0057,0.0015,0.0159,0.0139
01469,0.9532,0.0057,0.0094,0.0021,0.011,0.0185
01473,0.9447,0.0085,0.01,0.0015,0.0087,0.0265
01474,0.9558,0.0071,0.0047,0.0014,0.0136,0.0174
01475,0.9204,0.013,0.0184,0.0013,0.0128,0.0342
01501,0.9327,0.0095,0.0187,0.0013,0.0113,0.0265
01503,0.9493,0.0063,0.014,0.0024,0.0126,0.0154
01504,0.9483,0.0085,0.0082,0.0023,0.0121,0.0205
01505,0.9254,0.0067,0.0366,0.0021,0.0145,0.0147
01506,0.9631,0.0029,0.0021,0.0009,0.018000000000000002,0.013
01507,0.9432,0.0058,0.0094,0.0015,0.0113,0.0288
01510,0.8076,0.0253,0.0135,0.0019,0.0149,0.1368
01515,0.9528,0.005,0.0027,0.0023,0.0137,0.0234
01516,0.9543,0.0041,0.0092,0.0016,0.0144,0.0164
01518,0.94,0.0064,0.0138,0.0047,0.0131,0.0219
01519,0.9237,0.0079,0.0384,0.0002,0.0106,0.0191
01520,0.9248,0.0107,0.0312,0.0006,0.0105,0.0221
01521,0.9512,0.0056,0.0044,0.0044,0.0113,0.023
01522,0.944,0.0039,0.0239,0.0,0.0088,0.0194
01523,0.8286,0.0621,0.0176,0.0004,0.0111,0.0802
01524,0.9201,0.013,0.019,0.0028,0.0138,0.0313
01525,0.9724,0.0,0.0069,0.0,0.0,0.0207
01527,0.93,0.0125,0.0194,0.0015,0.0135,0.0231
01529,0.9633,0.0041,0.0091,0.0022,0.0085,0.0129
01531,0.969,0.003,0.006,0.004,0.01,0.008
01532,0.8619,0.009000000000000001,0.0819,0.0007,0.0195,0.027000000000000003
01534,0.939,0.0046,0.0107,0.002,0.0133,0.0304
01535,0.9579,0.0034,0.0034,0.003,0.0133,0.019
01536,0.8784,0.0265,0.054000000000000006,0.0013,0.0151,0.0247
01537,0.9484,0.0062,0.0098,0.0004,0.0125,0.0227
01540,0.9311,0.0099,0.0107,0.0012,0.0106,0.0364
01541,0.9602,0.0041,0.0117,0.0003,0.0094,0.0144
01542,0.9284,0.0105,0.01,0.0055,0.0068,0.0388
01543,0.9436,0.0114,0.016,0.0008,0.0099,0.0183
01545,0.7838,0.0172,0.1555,0.0007,0.0166,0.0261
01550,0.6865,0.0141,0.0179,0.0035,0.0114,0.2666
01560,0.7635,0.0117,0.1677,0.0013,0.0217,0.0341
01561,0.5184,0.3098,0.0123,0.0061,0.0031,0.1503
01562,0.9472,0.0052,0.0072,0.0017,0.01,0.0287
01564,0.9536,0.0067,0.0092,0.0017,0.0086,0.0202
01566,0.9343,0.0059,0.0227,0.0014,0.0092,0.0264
01568,0.9429,0.006999999999999999,0.0218,0.0005,0.0119,0.0159
01569,0.9494,0.0078,0.0105,0.0005,0.0128,0.0191
01570,0.8769,0.0251,0.0106,0.0028,0.0159,0.0687
01571,0.9394,0.0104,0.0083,0.0011,0.0118,0.029
01581,0.7547,0.0127,0.1752,0.0014,0.0166,0.0394
01583,0.8857,0.0446,0.0086,0.0022,0.0055,0.0533
01585,0.9598,0.0068,0.0053,0.0009,0.0105,0.0167
01588,0.9373,0.0068,0.0101,0.0011,0.0126,0.0321
01590,0.9604,0.0043,0.0104,0.0003,0.0116,0.013
01602,0.77,0.0743,0.0461,0.0014,0.0216,0.0866
01603,0.5211,0.1002,0.106,0.0025,0.0216,0.2485
01604,0.6404,0.1015,0.061,0.0014,0.0255,0.1702
01605,0.4861,0.1495,0.045,0.0027,0.0252,0.2915
01606,0.7822,0.0775,0.0372,0.0024,0.0217,0.079
01607,0.5609,0.1699,0.0523,0.0019,0.0197,0.1953
01608,0.2718,0.1388,0.0535,0.0041,0.0186,0.5132
01609,0.6563,0.0748,0.0611,0.0029,0.0214,0.1834
01610,0.4416,0.0996,0.0781,0.0035,0.0273,0.3499
01611,0.8617,0.0495,0.0169,0.0009,0.0165,0.0544
01612,0.9261,0.019,0.013,0.0006,0.0101,0.0312
01701,0.8237,0.0371,0.0651,0.001,0.0206,0.0526
01702,0.5775,0.0687,0.0694,0.0021,0.0583,0.2239
